id;name;latin;category;section;price;currency;availability;status;url;image;image_2;image_3;period;age;location;size;description
R-0272;Скелет дромеозаврида;Dromaeosauridae indet.;Динозавры;Монументы;42000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0272-dromaeosaurid.html;https://relictum.gallery/shared/img/ph_raptor.jpg;https://relictum.gallery/shared/img/int_ph_raptor.jpg;https://relictum.gallery/shared/img/gal_yakimanka_4.jpg;Меловой период;Поздний меловой период;;Длина 1,2 м;Дромеозавриды — некрупные пернатые хищники позднемелового времени, сложение которых ближе к птицам, чем к ящерам: полые кости, жёсткий хвост-балансир, сложенные вдоль тела руки с длинными пальцами. Главное их оружие — увеличенный серповидный коготь на втором пальце ноги. При беге он поднимался над землёй, чтобы не тупиться, и вводился в дело только в атаке.
R-0103;Метеорит Дронино;Dronino Iron;Метеориты;Космос;4500000;RUB;in stock;В наличии;https://relictum.gallery/objects/0103-dronino-iron.html;https://relictum.gallery/shared/img/ph_dronino.jpg;https://relictum.gallery/shared/img/int_ph_dronino.jpg;https://relictum.gallery/shared/img/g_dronino_2.jpg;До зарождения жизни;≈ 4,5 млрд лет;Рязанская область, Россия;13 × 9 × 26 см, вес 7,4 кг;"Дронино — почти чистое никелистое железо, вещество металлического ядра небольшого тела, разрушенного столкновением. Рельеф регмаглиптов появился позже, при входе в атмосферу; сам металл застыл ещё в сердцевине протопланеты. Дронино — железный метеорит-атаксит, найденный в Рязанской области в 2000 году. Его «дикая», изъеденная рельефом форма — результат миллионов лет в космосе и огненного входа в атмосферу: следы плавления, регмаглипты, застыли на поверхности навсегда. Это вещество из ядра разрушенной протопланеты — почти чистое никелистое железо, которому около четырёх с половиной миллиардов лет. Оно старше всего живого, старше самой Земли в её нынешнем виде."
R-0271;Череп трицератопса;Triceratops sp.;Динозавры;Монументы;88000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0271-triceratops-skull.html;https://relictum.gallery/shared/img/ph_triceratops.jpg;https://relictum.gallery/shared/img/int_ph_triceratops.jpg;https://relictum.gallery/shared/img/ph_triceratops.jpg;Меловой период;≈ 68–66 млн лет;Северная Америка;Длина черепа 1,7 м;Трицератопс жил в последние миллионы лет мезозоя — в речных поймах Северной Америки, среди папоротниковых зарослей и хвойных: четырёхтонный растительноядный динозавр, чью голову природа собрала как крепость. Костный воротник защищал шею и служил опорой челюстным мышцам, а два надглазничных рога длиной до метра — оружие: на костях находят следы столкновений и с сородичами, и с тираннозавром. На этом экземпляре сохранились и полный воротник со своими естественными проёмами, и оба надглазничных рога, и роговой клюв — сочетание, которое встречается заметно реже, чем принято думать: воротник тонок в середине и обычно ломается первым. Комплектность экземпляра — 65–70 процентов.
R-0104;Метеорит Чинге;Chinga Iron;Метеориты;Космос;300000;RUB;in stock;В наличии;https://relictum.gallery/objects/0104-chinga-iron.html;https://relictum.gallery/shared/img/ph_chinge_2.jpg;https://relictum.gallery/shared/img/int_ph_chinge.jpg;https://relictum.gallery/shared/img/g_chinge_2.jpg;До зарождения жизни;≈ 4,5 млрд лет;Река Чинге, Тыва, Россия;11,7 × 15,5 см, толщина 4,7 см;"Атакситы вроде Чинге — вещество металлического ядра протопланеты, разрушенной столкновением. Пока тело было целым, этот металл остывал в его сердцевине на градус за миллион лет; скульптурную форму обломку придали не резец, а сам распад и последующий путь через космос. Чинге — богатый никелем железный метеорит (атаксит), рассыпавшийся дождём над территорией нынешней Тывы. Индивидуальные экземпляры ценятся за плотную тёмную кору и скульптурную, ни на что не похожую форму. Каждому такому обломку около четырёх с половиной миллиардов лет — это вещество старше любой горной породы Земли."
R-0105;Лунный метеорит в раме;Lunar meteorite;Метеориты;Космос;350000;RUB;in stock;В наличии;https://relictum.gallery/objects/0105-lunar-meteorite.html;https://relictum.gallery/shared/img/ph_moon_frame.jpg;https://relictum.gallery/shared/img/int_ph_moon.jpg;https://relictum.gallery/shared/img/g_moon_fragment.jpg;До зарождения жизни;≈ 4,5 млрд лет;Район Адрар, Алжир;;Обломок лунной коры миллионы лет лежал в реголите, пока удар астероида не выбил его с поверхности Луны со скоростью, достаточной, чтобы преодолеть её притяжение и уйти в межпланетное пространство. Класс редкий: троктолитовых расплавных брекчий официально признано всего пять, а вся известная масса этого метеорита — меньше трёх килограммов, разбитых на множество фрагментов. Порода пережила сильный удар: отсюда мутно-серый тон, тончайшая матрица порядка ста микрон с флюидальными текстурами и включения хромшпинелида, троилита и кальцита. Это фрагмент лунной коры, выбитый с поверхности Луны ударом астероида, улетевший в космос и в конце концов упавший на Землю как лунный метеорит. В одной раме он соседствует с фотографией полной Луны — взгляд сразу связывает крошечный камень с небесным телом, с которого он когда-то был сорван.
R-0231;Морская лилия;Traumatocrinus guanlingensis;Морские лилии;Жизнь;500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0231-crinoid-fan.html;https://relictum.gallery/shared/img/ph_crinoid_fan.jpg;https://relictum.gallery/shared/img/int_ph_crinoid_fan.jpg;https://relictum.gallery/shared/img/g_crinoid_fan_1.jpg;Триасовый период;≈ 235 млн лет;Юньнань-Гуйчжоу, Китай;;Тёплое море покрывало юг нынешнего Китая 235 миллионов лет назад. По его поверхности дрейфовали стволы деревьев, и к ним, как ожившие цветы на длинных стеблях, крепились колонии Traumatocrinus — триасовых морских лилий. Морская лилия только выглядит растением. Это животное, родственник морских звёзд и ежей: веер перистых рук раскрывался в толще воды и процеживал её, собирая планктон, а членистый стебель держал крону на дрейфующем плавнике. Когда дерево тонуло, колония опускалась на дно и оказывалась погребённой в тонком иле — так возникли плиты формации Гуаньлин, к которой относится и этот экземпляр. Иловое захоронение сохранило этих животных с редкой полнотой: кроны, перистые руки и стебли лежат в породе рельефом, как гербарий, собранный самой геологией. Каждая плита — это одна сцена той катастрофы и одна композиция, не повторяющаяся дважды. Морские лилии этого рода исчезли вместе со своим миром, но их изящество не устарело за четверть миллиарда лет. Плита с Traumatocrinus сохраняет колонию в прижизненном положении — так, как она дрейфовала на своём стволе.
R-0227;Метеорит Дронино, 128 кг;Dronino Iron;Метеориты;Космос;19000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0227-dronino-128kg.html;https://relictum.gallery/shared/img/ph_dronino128.jpg;https://relictum.gallery/shared/img/int_ph_dronino128.jpg;https://relictum.gallery/shared/img/g_dronino128_1.jpg;До зарождения жизни;≈ 4,5 млрд лет;Рязанская область, Россия;128 кг;Железный метеорит Дронино массой сто двадцать восемь килограммов — один из самых крупных найденных фрагментов этого падения в Рязанской области. Это атаксит: почти чистое никелистое железо, вещество металлического ядра небольшого тела, разрушенного столкновением в ранней Солнечной системе. Его возраст — около четырёх с половиной миллиардов лет. Поверхность сохранила следы прохождения через атмосферу: участки плавления и рельеф регмаглиптов, сформировавшихся при огненном входе. Масса и размеры этого экземпляра выделяют его среди большинства находок Дронино.
R-0609;Скелет жехолозавра;Jeholosaurus shangyuanensis;Динозавры;Монументы;10000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0609-jeholosaurus.html;https://relictum.gallery/shared/img/ph_jeholosaurus.jpg;https://relictum.gallery/shared/img/int_ph_jeholosaurus.jpg;https://relictum.gallery/shared/img/ph_jeholosaurus.jpg;Меловой период;≈ 125 млн лет;Провинция Ляонин, Китай;Длина 70 см;В раннемеловое время на месте нынешнего Ляонина росли гинкго и хвойные с папоротниковым подлеском, а вулканический пепел время от времени накрывал всё живое и превращал его в летопись. Именно этому пеплу мы обязаны знаменитой сохранностью жехольской фауны. Жехолозавр — мелкий двуногий растительноядный динозавр около метра длиной, один из ранних орнитопод. Небольшой череп с клювом и листовидными зубами, компактное тело, длинные задние ноги и очень длинный хвост-противовес: сложение бегуна, а не бойца. Этот экземпляр полон: череп, позвоночный столб с длинным хвостом, рёбра, обе пары конечностей с вытянутыми стопами. Скелет стоит в шаге, с поднятой головой, на овальном каменном основании.
R-0276;Срез метеорита Алетай;Aletai Iron;Метеориты;Космос;2000000;RUB;in stock;В наличии;https://relictum.gallery/objects/0276-aletai-slice.html;https://relictum.gallery/shared/img/ph_met_aletai.jpg;https://relictum.gallery/shared/img/int_ph_met_aletai.jpg;https://relictum.gallery/shared/img/g_aletai_slice_260921110611.jpg;До зарождения жизни;≈ 4,5 млрд лет;Алтайские горы, Китай;40 × 32 см, вес 9 895 г;Узор Видманштеттена на срезе — кристаллы, которые вырастают только при остывании на градус за миллион лет. Так медленно остывает лишь ядро планетного тела, укрытое каменной мантией. Алетай — железный метеорит, один из крупнейших известных на Земле. Его фрагменты найдены в китайской части Алтайских гор и разбросаны на территории протяжённостью более четырёхсот километров: это крупнейшее известное метеоритное поле рассеяния. Общий вес собранного материала превышает семьдесят четыре тонны. При полировке в металле проявляется узор Видманштеттена — рисунок из кристаллов никелистого железа. Он формируется только при чрезвычайно медленном остывании, на градус за миллион лет, в недрах космического тела. Повторить его на Земле невозможно.
R-0277;Куб из метеорита Алетай;Aletai Iron;Метеориты;Космос;450000;RUB;in stock;В наличии;https://relictum.gallery/objects/0277-aletai-cube.html;https://relictum.gallery/shared/img/ph_met_aletai_cubes.jpg;https://relictum.gallery/shared/img/int_ph_met_aletai_cubes.jpg;https://relictum.gallery/shared/img/g_aletai_cube_260921110611.jpg;До зарождения жизни;≈ 4,5 млрд лет;Алтайские горы, Китай;Вес 1 267 г;Куб режет один и тот же металл сразу в трёх плоскостях, и на каждой грани узор идёт под своим углом. Эта решётка сложилась в ядре протопланеты и на Земле невоспроизводима. Алетай — железный метеорит, один из крупнейших известных на Земле. Его фрагменты найдены в китайской части Алтайских гор и разбросаны на территории протяжённостью более четырёхсот километров: это крупнейшее известное метеоритное поле рассеяния. Общий вес собранного материала превышает семьдесят четыре тонны. При полировке в металле проявляется узор Видманштеттена — рисунок из кристаллов никелистого железа. Он формируется только при чрезвычайно медленном остывании, на градус за миллион лет, в недрах космического тела. Повторить его на Земле невозможно.
